Datetime,,total
2018,00:00:00,975.186563916064
2018,00:10:00,1099.2880808324999
2018,00:15:00,957.8792219631611
2018,00:20:00,1091.97528939375
2018,00:30:00,946.3297564809118
2018,00:40:00,931.323332353125
2018,00:45:00,959.0101926350608
2018,00:50:00,995.0163160209374
2018,01:00:00,952.0689035082272
2018,01:10:00,1015.2766364728125
2018,01:15:00,937.181641426409
2018,01:20:00,992.2041686437501
2018,01:30:00,937.1515270196363
2018,01:40:00,948.9259565521875
2018,01:45:00,966.0494386805926
2018,01:50:00,959.9950664925
2018,02:00:00,980.6107665444985
2018,02:10:00,1015.6851615946875
2018,02:15:00,957.4109648811245
2018,02:20:00,996.2178079809374
2018,02:30:00,934.7987140695593
2018,02:40:00,947.6533140243749
2018,02:45:00,946.5784411566566
2018,02:50:00,1012.2363170240625
2018,03:00:00,957.4830983317727
2018,03:10:00,1004.403135350625
2018,03:15:00,937.5010217912273
2018,03:20:00,1042.6484580553124
2018,03:30:00,935.6945061417728
2018,03:40:00,981.0600197971874
2018,03:45:00,952.5292732736817
2018,03:50:00,976.7224930940624
2018,04:00:00,976.3932918788635
2018,04:10:00,995.6093383734376
2018,04:15:00,980.4857669986363
2018,04:20:00,976.9865019
2018,04:30:00,952.2345348003637
2018,04:40:00,1047.66700348125
2018,04:45:00,952.2427555960909
2018,04:50:00,1038.113708788125
2018,05:00:00,950.0436969579091
2018,05:10:00,993.8165562159376
2018,05:15:00,943.4252247816363
2018,05:20:00,1008.6500740209375
2018,05:30:00,951.5137027230455
2018,05:40:00,1008.9305769
2018,05:45:00,958.4241565000909
2018,05:50:00,993.5087124618749
2018,06:00:00,1023.9694319161364
2018,06:10:00,973.6017499415625
2018,06:15:00,1035.696023081409
2018,06:20:00,954.4154417840625
2018,06:30:00,1059.2090975687274
2018,06:40:00,1044.7218027215627
2018,06:45:00,1073.5314328837728
2018,06:50:00,1049.26216537875
2018,07:00:00,1125.3362581160454
2018,07:10:00,1019.426108715
2018,07:15:00,1144.6985030871363
2018,07:20:00,1009.0967940075
2018,07:30:00,1126.7513360931364
2018,07:40:00,944.935192213125
2018,07:45:00,1190.0132691853637
2018,07:50:00,972.68224853625
2018,08:00:00,1200.9517081286363
2018,08:10:00,960.667368200625
2018,08:15:00,1233.999514723591
2018,08:20:00,1018.2734679909375
2018,08:30:00,1255.5049668932272
2018,08:40:00,989.3569539074999
2018,08:45:00,1258.6894462832272
2018,08:50:00,970.3861381106249
2018,09:00:00,1264.8188847282272
2018,09:10:00,1029.1547505815624
2018,09:15:00,1263.2860623727727
2018,09:20:00,1030.0136364684374
