,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0,,,,,,0.0,,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,,,,,,
1,,,,,,0.0,,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,,,,,,
2,,,,,,0.0,,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,,,,,,
3,,,,,,0.0,,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,,,,,,
4,,,,,,0.0,,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,,,,,,
5,,,,,,0.0,,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,,,,,,
6,,,,,,0.0,,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,,,,,,
7,,,,,,0.0,,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,,,,,,
8,,,,,,0.0,,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,,,,,,
9,,,,,,0.0,,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,,,,,,
10,,,,,,0.0,,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,,,,,,
11,,,,,,0.0,,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,,,,,,
12,,,,,,0.0,,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,,,,,,,
13,,,,,,0.0,,,,6.200758079218474e-07,,,0.0,,,,,0.0,,0.0,,0.0,,,,,,,,
14,,,,,,0.0,,,,6.188890235843229e-07,,,0.0,,,,,0.0,,0.0,,0.0,,,,,,,,
15,,,,,,0.0,,,,1.2600065114770924e-06,,,0.0,,,,,0.0,,0.0,,0.0,,,,,,,,
16,,,,,,0.0,,,,46.24242024846049,,,0.0,,,,,0.0,,0.0,,0.0,,,,,,,,
17,,,,,,0.0,,,,79.68335596629713,,,10.175889091014618,,,,,0.0,,0.0,,25.47518457417119,,,,,,,,
18,,,,,,0.0,,,,104.43558874216625,,,10.086952926058133,,,,,0.0,,54.64957188791632,,53.29550584500623,,,,,,,,
19,,,,,,13.99999999886399,,,,148.69637848296435,,,21.634928741742492,,,,,14.000000061120774,,138.28820531694672,,176.49597598635378,,,,,,,,
20,,,,,,65.00070373499139,,,,211.45317487968936,,,12.202940039808261,,,,,104.50422968427351,,181.25995932181524,,178.1744228069663,,,,,,,,
21,,,,,,113.0774114036604,,,,325.15223318056445,,,67.30569783678,,,,,174.39935121895056,,301.14466522222176,,269.5070665074364,,,,,,,,
22,,,,,,192.5655058296362,,,,553.4237852096976,,,93.82928337622467,,,,,188.39228967554934,,546.278160944223,,415.9940480147646,,,,,,,,
23,,,,,,235.69415636661427,,,,704.3136582003291,,,103.00426295753051,,,,,300.650586990011,,765.548319092508,,595.2711266388612,,,,,,,,
24,,,,,,2.8081912524547094e-08,,,,786.4895176942276,,,3.0448397731789876e-06,,,,,3.969849559084298e-06,,796.912618142702,,796.9125702814484,,,,,,,,
25,,,,,,3.652301683155045e-08,,,,781.4453744288949,,,4.459831007832621e-06,,,,,4.294513470819476e-06,,781.4453637365247,,781.4453701757784,,,,,,,,
26,,,,,,5.411174917355111e-08,,,,785.7064102230844,,,4.529154612382478e-06,,,,,4.5307761939174614e-06,,785.7064054003911,,785.7064064187508,,,,,,,,
27,,,,,,1.8426797869184197e-06,,,,760.6468452132833,,,4.853797033316831e-06,,,,,5.580384228863743e-06,,760.6468443254304,,760.6468433129976,,,,,,,,
28,,,,,,488.4282884746898,,,,752.3802631090182,,,56.000002540938326,,,,,10.330798227554022,,752.3802630934513,,752.3802631217234,,,,,,,,
29,,,,,,549.4505952223445,,,,700.450989583054,,,56.000003081544854,,,,,37.69879028816113,,700.4509895707282,,700.4509895977693,,,,,,,,
30,,,,,,604.2336383050967,,,,685.3119423293718,,,56.000004054386345,,,,,37.68246924263281,,685.3119423191806,,685.3119423428286,,,,,,,,
31,,,,,,678.5319180839573,,,,682.7025657322084,,,56.0000044190627,,,,,61.079113894820175,,682.7025657209131,,682.7025657428837,,,,,,,,
32,,,,,,277.2364186617669,,,,644.280026995889,,,7.3186113626691484e-06,,,,,1.1381525839549907e-05,,644.2800268238178,,644.2800270169124,,,,,,,,
33,,,,,,349.0728309611332,,,,648.7743750341467,,,7.6060152664096385e-06,,,,,1.2196247486853937e-05,,648.7743748664594,,648.7743750554353,,,,,,,,
34,,,,,,384.5773048837079,,,,623.5446016462656,,,8.76117112339387e-06,,,,,1.3780335585817571e-05,,623.5446014549696,,623.5446016682547,,,,,,,,
35,,,,,,380.72714586459443,,,,582.9029862621212,,,9.454116711659768e-06,,,,,1.519283665687796e-05,,582.9029860394091,,582.9029862862988,,,,,,,,
36,,,,,,600.1949527135191,,,,600.1949527916622,,,4.230253973317089,,,,,20.568212648937134,,600.1949527637837,,600.1949528104007,,,,,,,,
