,Em_uc_kg/kWh,Em_cc_kg/kWh,Em_reduce_%,loadvar_uc,loadvar_cc,loadvar_reduce_%,satisfied_energy_%,satisfied_energy_uc_%,Em_reduce_kg
40,0.1784288973655032,0.1737673543253035,2.6125493734631227,155876188.77756375,132772413.83136436,14.821875699802112,30.30530403871756,46.12309475875461,15.324651746707074
41,0.1772382742000472,0.1782874221565882,-0.5919420967487088,153957709.3456226,144863690.2795341,5.906829287563093,61.42789662932008,68.16759476739223,-4.568174303127636
42,0.1761597441666952,0.1699723644039021,3.5123687264998225,151903080.23113012,143712324.28084183,5.392093391276558,65.02589066832748,69.99771841148656,26.796385647568975
43,0.178038099755686,0.1669980207099894,6.200964322157105,158030636.78195313,137267097.16715005,13.13893308134429,41.05855017543573,56.09900889071176,41.92584567546751
44,0.1774654608316673,0.1707720064451925,3.771694139866352,153688131.13204807,131053508.26382788,14.727632317145314,33.95929312007333,54.32419362277568,19.89669292084083
45,0.173918012034294,0.1610827610591215,7.380058468378491,125514201.38734338,120659270.20430323,3.8680333614660514,86.64083359169373,100.0,27.53305953863131
46,0.1761385914223371,0.1747454995864765,0.7909066517514427,149728024.82697096,139477743.76882073,6.845933531812555,58.31522795758141,68.7438321802507,5.260283993448374
47,0.1752172849284772,0.1572095388262159,10.277379945484242,117633079.16985424,113798913.92613806,3.259427765365147,83.11747907138239,100.0,27.97910046722007
48,0.175948636132299,0.1723788557181431,2.028876433842739,149782924.35447687,145539550.18043366,2.833015974505092,50.33235237484848,52.24355114991342,15.053438825829842
49,0.1766230331440219,0.1757324943762873,0.5042030769613648,145575656.2004622,142172868.07174665,2.3374705754578917,73.3321199640294,79.00301762437144,3.3984387310924262
50,0.1760447336295239,0.1770774153595133,-0.5866018873149919,152379076.7623025,143827838.96165907,5.611818881133247,62.01066598783645,67.8666217052457,-4.378058619555248
51,0.1766716750781404,0.1757079266285288,0.5455025256229411,149266605.3115725,135624799.45888108,9.139221612373452,37.79369422562983,47.25973818428474,3.3754437129946204
52,0.1639290953026328,0.1536984701573978,6.24088428374964,104475886.01535667,104036658.2361629,0.4204106765165052,99.60048128458143,100.0,7.207068850372923
53,0.1769215282558591,0.1712209501229825,3.2220941052649144,152859695.58138695,127483461.86771327,16.600997154388963,31.41520354867291,53.05374090141402,15.693235221253989
54,0.1761218215527072,0.1710074085154026,2.903906507561282,146220986.2363314,143265563.66858184,2.021202731441589,66.03330981948143,65.49307109705325,21.31236343941752
55,0.1758829695551243,0.1729639593577741,1.6596320864569722,145065798.9306538,142873404.11954185,1.5113106102700289,64.3092130153206,64.46727672411546,12.007222554723517
56,0.1793814329206631,0.1752222927940912,2.318601239188133,159635682.89812556,131256549.49068062,17.777437282337186,31.47610091555429,51.90677195737933,13.36972462236081
57,0.1742495283483583,0.1699450755052351,2.470280914917482,146151895.8487531,141489401.4391109,3.190170324213395,58.1942005483042,60.59574716194685,17.289797921522997
58,0.1767141586014882,0.1717246254298914,2.823505038353353,150806932.86427766,127841175.87192856,15.228581707856687,30.07259979099945,48.26184777377495,14.00713770722673
59,0.1772020957683288,0.1729022751574946,2.426506634806251,153151186.1279841,145905268.07949302,4.73121902068449,61.49271555586078,64.39120213453714,19.595233441017854
60,0.1758829695551243,0.1724278584312521,1.9644375647122092,145065798.9306538,142089141.1435948,2.0519362999420343,63.14523088683344,64.46727672411546,13.955208471673
61,0.1715353112468177,0.1718090688978801,-0.1595925929609703,136740443.24753255,125595148.09940524,8.150694032746184,76.40313691044503,94.13699337858678,-0.7088647441038165
62,0.1785801887067644,0.1728192468170404,3.2259692026553384,155523933.23833233,137528484.2521937,11.570855116274323,41.2488624740114,54.74115860609863,21.38672637515195
63,0.1772997546574616,0.1731006347122138,2.368373240764112,154116138.0506274,135560144.93078983,12.040266097079272,41.65355951227959,56.88196136186278,14.546722150443737
64,0.1750269619069025,0.1737706810196795,0.7177642081744986,146462728.3635286,142378410.65878963,2.788639642572732,56.37642094727613,57.70558668115048,5.12858001417317
65,0.1771930402362636,0.1696352312018119,4.265296777104983,156620830.1535235,134598371.58613175,14.06100232376805,35.224667275058344,52.41834417078124,25.733114081083517
66,0.1774654608316673,0.1709692730007297,3.660536422408081,153688131.13204807,128729812.48008189,16.239587577860608,31.85522536098031,54.32419362277568,18.11386818029366
67,0.1784625535528881,0.1724803120256606,3.352099030374261,155848646.7157704,131924456.79473336,15.350912840885226,34.899988270454244,52.72124664522425,19.382452648015
68,0.1760967142614986,0.1702844504440627,3.3006088965435256,150500931.12218413,127503215.03786393,15.280779934610193,34.33015575078823,55.21132571687766,16.27297055058277
69,0.1767771616446122,0.1679035286802038,5.0196715921074,151359903.06822115,129211627.23329435,14.632855456404512,40.25994700626385,61.269328899234765,26.390576257604344
